"ID1","ID2","FormTime","DisTime","AgeGap","MSM","CondomUsingFormation"
134,215,0.2134922602,0.2254583356,18.6135511174,0,0
52,356,0.3868776004,0.3872275775,-0.1787883044,0,0
109,235,0.1838823504,0.4834361357,19.3602301851,0,0
3,306,0.0040399520,0.7088587389,4.2184264996,0,0
120,341,0.0000277050,1.1046696506,2.1817057051,0,0
94,228,0.8929116462,1.5124384692,0.6887600588,0,0
132,228,0.9190497557,2.4120640258,8.0347576828,0,0
152,227,0.3480550476,2.4217581988,13.5101112843,0,0
39,367,1.2962925655,2.5135172189,2.2601444561,0,0
73,284,0.0182481946,2.9895065153,4.3112123873,0,0
75,399,0.1072024079,3.4391190765,20.8052956403,0,0
52,219,2.6625775708,3.4479562197,2.5715025412,0,0
158,356,1.2173713798,3.4589162547,10.8263688970,0,0
35,324,2.9984019507,3.4836473115,6.8827446800,0,0
132,302,2.9744296855,3.5617398182,9.7715157077,0,0
129,228,1.9131380875,3.6187431478,2.5111431536,0,0
194,359,0.4031921871,3.8271742579,1.4000294699,0,0
178,235,0.1983602456,4.6122201845,10.1101911032,0,0
178,349,0.5397413588,4.6122201845,10.6449243484,0,0
54,203,1.0553945132,4.9218838149,10.8022943142,0,0
169,228,1.8146993107,5.0753305693,0.3223544613,0,0
159,342,5.1725805848,5.2530568733,2.8565061355,0,0
94,221,2.9065628827,5.4290934616,0.6892769913,0,0
102,279,5.1913097791,5.6119863088,1.4765718765,0,0
4,280,4.7823122563,5.7481022222,3.7343648750,0,0
132,376,0.0029812146,6.0418634262,2.9210204177,0,0
154,215,0.0007986693,6.3060853714,9.7837363521,0,0
56,249,1.3248839173,7.0290054202,0.4344344459,0,0
77,285,6.7206465714,7.1765903792,5.2424258763,0,0
5,293,7.2209184224,7.2222579797,-0.4906140346,0,0
160,250,0.0001195492,7.4821155683,7.7076099003,0,0
94,366,5.1034613219,7.4922625233,4.6589611601,0,0
187,325,7.1429435744,7.5341141255,8.3594361159,0,0
77,264,0.0039615207,7.6090861020,3.4116771405,0,0
166,389,3.9686534455,7.7106139408,2.0752023107,0,0
7,386,7.1807111357,7.7215246014,6.4403716179,0,0
13,262,0.6346491840,8.0190311403,7.9685170127,0,0
94,221,6.3445516675,8.0266853148,0.6892769913,0,0
23,261,0.0655697342,8.2087743532,10.4712716636,0,0
23,294,8.0518809320,8.2087743532,22.5142827232,0,0
164,367,2.3518724541,8.2509517416,-1.4266031624,0,0
31,271,0.0040693627,8.3688957170,6.4040415136,0,0
31,340,4.3710291208,8.3688957170,9.7840548401,0,0
31,341,0.4082340327,8.3688957170,-0.5372261735,0,0
16,348,5.9789038222,8.4300109861,12.3345675278,0,0
78,287,6.1630358556,8.4659490911,-0.4580496527,0,0
160,397,0.0463195751,8.7973431805,8.0935153611,0,0
154,202,0.7437792073,8.9608384161,6.3162543497,0,0
34,261,1.8402518404,8.9692310307,17.9261024597,0,0
166,299,7.6278039998,8.9734442396,5.7360847639,0,0
65,277,5.7483268177,9.1340184816,5.1961805437,0,0
126,245,3.6870526651,9.1551896741,11.6810526285,0,0
27,395,8.5105417700,9.2738623536,4.2200117048,0,0
195,250,2.2383855211,9.3010565969,10.4105969297,0,0
195,307,5.3159440681,9.3010565969,9.9499924315,0,0
195,394,0.3409339508,9.3010565969,11.8000157942,0,0
71,342,5.5429558094,9.3563681371,2.4351991671,0,0
1,245,7.0104952922,9.3878277417,14.7824912138,0,0
97,387,0.8467031646,9.4564233840,1.6074238189,0,0
175,330,0.0269287453,9.4597827159,5.2127171297,0,0
9,292,0.3584453164,9.5608971619,9.8960204516,0,0
68,362,8.7758830341,9.6445039451,3.4873500557,0,0
164,373,7.4455405556,9.6830771778,6.3865621854,0,0
55,373,9.5594353246,9.7520217336,0.0874589983,0,0
142,352,3.1074935267,9.7923455317,4.9939100918,0,0
91,354,8.8517282113,9.8196278270,6.0795044602,0,0
93,333,9.8094310905,9.8510907327,2.9958625014,0,0
193,306,9.5429393199,9.9414865408,11.5434309775,0,0
177,359,3.1567667811,10.3680743264,7.4317894381,0,0
98,381,8.1957015195,10.3952737388,1.6934812861,0,0
167,302,4.0951265638,10.4136190045,5.9343781220,0,0
100,246,10.1426232334,10.4500745358,2.9642320125,0,0
4,343,7.7226773348,10.7236116313,5.5857402283,0,0
159,276,7.4338893744,10.8613222184,5.0707626877,0,0
25,335,10.7118550867,10.9910761579,5.1668266663,0,0
51,278,1.7496755149,11.0333672859,7.9846712811,0,0
64,236,0.1489935115,11.0696248783,13.8404531171,0,0
64,254,2.2169328337,11.0696248783,11.4999073843,0,0
64,338,10.5308280773,11.0696248783,14.9332792110,0,0
33,305,9.5702833758,11.2237660480,-1.1437389604,0,0
67,366,6.2009217903,11.2977606750,3.0607678117,0,0
83,263,6.6422828790,11.3344642486,1.6498898203,0,0
117,345,10.2508740763,11.4590882740,4.5917675045,0,0
186,381,8.7071794019,11.4953716261,4.2130593054,0,0
120,324,6.0849015151,11.5913758728,10.0275191928,0,0
38,206,10.1068074044,11.6056811775,-0.5204691449,0,0
180,369,11.5870879410,11.7527508873,2.0541964006,0,0
166,395,4.1876573487,12.0423147406,2.4903272426,0,0
125,389,10.9086191432,12.1047046041,-1.9451903241,0,0
10,383,0.0203514277,12.1229098158,11.8043489426,0,0
172,288,7.7488325685,12.1355555610,16.1548073151,0,0
37,246,10.4559781235,12.2997440620,0.8058759751,0,0
145,379,11.3908409236,12.3838262283,5.2924254752,0,0
57,395,4.3698179062,12.3852184147,-0.1687164554,0,0
111,246,10.3879450782,12.3869068069,1.0460037660,0,0
186,293,7.1241091971,12.3954388272,2.7217967636,0,0
120,249,0.3332862162,12.4085647957,5.6661144583,0,0
120,250,0.8977507515,12.4085647957,-0.6334288568,0,0
120,271,9.2537194513,12.4085647957,9.1229733922,0,0
120,285,2.1169127846,12.4085647957,8.4866108026,0,0
120,341,1.1047452850,12.4085647957,2.1817057051,0,0
25,363,6.6324018213,12.4154870147,1.1268957026,0,0
10,296,0.0179095260,12.5546592264,5.3872675665,0,0
176,296,9.1063382001,12.5546592264,16.5910391206,0,0
197,215,2.9857577342,12.7920113940,5.9446703871,0,0
91,362,7.3865137635,12.8885585904,4.7123131397,0,0
145,209,9.4333380610,13.0159459477,-0.1205548429,0,0
69,288,0.9155823974,13.0206602960,23.0254459092,0,0
126,240,9.7572829258,13.1041740844,11.3590721997,0,0
73,267,0.0699429951,13.1486951172,7.5440659860,0,0
161,379,11.4043705852,13.2136515828,0.5889641966,0,0
75,399,3.4840094167,13.3899347421,20.8052956403,0,0
88,304,12.3960400111,13.4089618423,1.0440691181,0,0
82,341,0.0017049795,13.5630520573,11.6214964207,0,0
82,346,6.6995460460,13.5630520573,9.0515310907,0,0
82,397,5.8974748076,13.5630520573,9.1922673195,0,0
126,364,8.5125241032,13.5895241396,5.1680417113,0,0
66,285,5.8972095890,13.5938867283,9.0347861815,0,0
138,390,2.5259985084,13.6683062327,6.7039912392,0,0
61,206,9.6413120385,13.8551886685,1.0199798080,0,0
74,336,10.4213241822,13.8661648491,2.6192488721,0,0
7,340,9.3029853429,13.9940238792,5.4934637985,0,0
65,233,10.1171054771,14.0217611696,2.9035595047,0,0
93,205,13.3953507367,14.0252567917,5.6279292154,0,0
145,345,7.3390456455,14.1850042666,-0.2009068091,0,0
164,230,6.0547317887,14.2124804308,5.0768127110,0,0
164,237,5.1569574541,14.2124804308,4.4918633288,0,0
164,242,11.4956668336,14.2124804308,10.3706510231,0,0
164,345,6.4558793786,14.2124804308,5.2750513101,0,0
164,366,5.2249238311,14.2124804308,4.2373501484,0,0
164,373,10.0371347316,14.2124804308,6.3865621854,0,0
132,321,13.1514838328,14.3028668279,12.9721075267,0,0
3,359,4.0610152119,14.3684569834,2.3172352336,0,0
147,370,0.0969147626,14.4513186280,-0.9373550219,0,0
86,235,12.9824647706,14.5801207246,25.4500834442,0,0
144,362,10.4912030521,14.5826682508,4.5499948096,0,0
94,360,12.8573884272,14.5866484248,9.8589746149,0,0
130,342,5.2673748932,14.6508716459,4.7673468378,0,0
10,383,12.4277167297,14.7160020667,11.8043489426,0,0
92,351,7.1081004936,14.7746944272,5.9194981821,0,0
154,351,0.0407753993,14.7746944272,3.3840857671,0,0
52,280,7.8525672495,14.7856845201,5.9455176066,0,0
13,262,9.8654744814,14.7903794411,7.9685170127,0,0
39,262,0.4228376893,14.7903794411,1.4449363328,0,0
73,262,1.9436149963,14.7903794411,9.1433571118,0,0
124,262,9.1344870720,14.7903794411,10.8841206315,0,0
158,262,4.4304380359,14.7903794411,10.5470967843,0,0
159,354,9.2315570078,14.7930184369,6.3866621910,0,0
36,305,8.5312265829,14.8115317846,0.6119147815,0,0
94,366,9.9025441245,14.8315466784,4.6589611601,0,0
5,336,10.4790856387,15.0974023807,3.4063876358,0,0
91,226,10.0814393178,15.1065147832,6.0993739726,0,0
106,201,14.5035597909,15.1087956764,0.3550190639,0,0
153,310,0.3376985186,15.2267318228,-0.4636500842,0,0
71,274,6.8804604399,15.2427467316,3.1553533740,0,0
194,258,3.9071111388,15.2673308149,9.8510379680,0,0
126,250,0.0282261826,15.3118165581,4.5758808771,0,0
160,250,7.4874613400,15.3118165581,7.7076099003,0,0
193,250,0.1325912340,15.3118165581,5.6277705039,0,0
13,282,0.0218779098,15.3452675409,7.0191937137,0,0
77,282,2.6166757971,15.3452675409,8.2605715806,0,0
85,204,9.1487915233,15.3787197024,4.9233161377,0,0
154,204,12.4536719895,15.3787197024,13.9045393962,0,0
177,204,2.2222970070,15.3787197024,4.2332871731,0,0
161,373,10.8387563359,15.4795795395,-3.7928572124,0,0
76,295,12.8008868869,15.4823600652,0.8340922443,0,0
54,203,7.8164098935,15.4871074008,10.8022943142,0,0
7,356,0.4629824899,15.5212261658,5.7238289985,0,0
52,356,0.4538916538,15.5212261658,-0.1787883044,0,0
77,356,8.1591279425,15.5212261658,9.4891669923,0,0
158,356,5.1398730000,15.5212261658,10.8263688970,0,0
175,356,11.4925265065,15.5212261658,12.4382470934,0,0
91,226,15.3051841135,15.5801461219,6.0993739726,0,0
145,263,6.5540219964,15.5986780346,0.3700914154,0,0
4,354,10.5657187186,15.7533089818,7.6488567236,0,0
192,331,11.7502929915,15.7764947250,2.2923470343,0,0
137,328,14.6630212114,15.8089433678,-0.0691075661,0,0
180,304,13.1756745799,15.8647736572,3.3394114876,0,0
101,238,14.0205878490,15.9004269362,-1.4418530896,0,0
54,323,13.2125020113,15.9360450760,20.4889731256,0,0
186,381,11.6693115295,15.9400032233,4.2130593054,0,0
81,297,13.0448340470,15.9903353480,-0.7455576391,0,0
187,284,2.0358625070,16.1026945428,4.4527257341,0,0
61,354,9.3969054784,16.1118360591,1.9874336148,0,0
148,400,14.3731864173,16.2271075301,6.5356276665,0,0
46,322,15.5257723036,16.2374368123,9.9299129618,0,0
11,237,6.1705395103,16.2582567953,8.3139420884,0,0
175,330,9.4853993433,16.2682899531,5.2127171297,0,0
9,392,10.0197424641,16.3419159933,23.1976714448,0,0
151,328,13.9743140773,16.4044487517,1.6973125342,0,0
101,201,14.0621494093,16.4632425448,0.1223509134,0,0
137,295,15.0710517987,16.5779465622,-1.0827738811,0,0
83,362,8.1440639989,16.7138499783,2.5129075519,0,0
186,293,15.1222358508,16.7347402540,2.7217967636,0,0
19,345,15.3506158299,16.8506729508,4.6431200868,0,0
57,345,6.0394899469,16.8506729508,1.5386729014,0,0
91,345,6.0486857098,16.8506729508,3.2782971837,0,0
125,345,9.7138583014,16.8506729508,0.1773239646,0,0
46,322,16.8341116789,17.0765801748,9.9299129618,0,0
116,205,11.8855705997,17.1049061972,0.5073649149,0,0
148,371,12.4037685047,17.1080241673,3.8867086866,0,0
4,279,5.1891622554,17.3285208904,4.1417624346,0,0
97,336,15.5048395461,17.3351299339,15.8621249899,0,0
118,267,0.5452932279,17.3636272900,6.9406553897,0,0
118,341,0.0035691664,17.3636272900,-1.7324275852,0,0
118,375,10.4657877087,17.3636272900,11.1131187750,0,0
150,208,9.8538264807,17.4641235240,-3.3197629102,0,0
102,378,8.6583047131,17.5243128473,4.7121613042,0,0
127,297,15.7338639726,17.5551635507,1.2288911706,0,0
21,363,9.4689693796,17.6732805523,1.5676138406,0,0
157,295,17.2538461767,17.7245177759,3.0008004966,0,0
4,354,15.7736740954,17.7468366269,7.6488567236,0,0
166,360,15.0794141031,17.8177151924,8.3600288925,0,0
57,206,8.2651067720,17.8284852176,3.3724263711,0,0
11,327,1.9168151733,17.9534164151,5.1065481423,0,0
132,327,1.9069823788,17.9534164151,9.0520780185,0,0
56,310,1.7167145590,18.0358271021,3.1564385773,0,0
11,230,5.6981184589,18.1212104946,8.8988914706,0,0
13,230,15.0342909786,18.1212104946,15.2871410094,0,0
39,230,7.9438174859,18.1212104946,8.7635603295,0,0
73,230,14.0568898832,18.1212104946,16.4619811086,0,0
94,230,5.7141487646,18.1212104946,5.4984237227,0,0
114,230,8.1263956879,18.1212104946,11.2414552333,0,0
130,230,6.2334782755,18.1212104946,5.2980570177,0,0
132,230,5.6975163517,18.1212104946,12.8444213468,0,0
142,230,5.6972836762,18.1212104946,7.6832865515,0,0
167,230,5.6969358671,18.1212104946,9.0072837611,0,0
170,230,6.5355779825,18.1212104946,7.3726129161,0,0
94,206,7.9626517660,18.2960345238,7.5304157915,0,0
5,226,9.6418903155,18.3730243024,1.7174561385,0,0
145,398,18.1739248109,18.3952520612,7.3442978147,0,0
83,304,15.1237864557,18.5072484188,7.4470324108,0,0
75,261,0.0169609303,18.5334808067,21.0989964409,0,0
84,355,0.9194878151,18.5541840846,7.6509987527,0,0
84,357,4.5631788606,18.5541840846,14.1416209430,0,0
132,276,7.4425960609,18.6382572645,14.5279677191,0,0
155,229,6.6829926486,18.6702480305,0.2309696492,0,0
122,337,11.5350859643,18.7434563316,13.9522758602,0,0
122,395,16.8542137535,18.7434563316,11.1904296734,0,0
158,387,16.5380657978,18.8949148231,8.3192664953,0,0
11,299,15.3521469688,18.9511750075,10.6354982342,0,0
57,279,5.5785501145,19.0878721275,0.8327858889,0,0
131,226,11.3446248316,19.0933526642,5.0468472084,0,0
181,368,10.3493926148,19.2057281543,5.0560061199,0,0
181,400,17.3011187752,19.2057281543,10.1175989342,0,0
94,360,15.6086348868,19.2874551802,9.8589746149,0,0
89,398,13.6520982683,19.3162573336,4.3241311891,0,0
149,269,15.0216539654,19.3795554983,2.3425882944,0,0
161,257,10.8064281667,19.4431281228,-1.5424828371,0,0
24,205,12.9442317007,19.5092855511,3.1844834476,0,0
74,335,13.2206346575,19.6047052415,1.7239192701,0,0
113,335,14.7466710123,19.6047052415,4.6381857917,0,0
180,335,10.2292917732,19.6047052415,0.5859493568,0,0
45,336,10.4066404212,19.7472304131,7.4052176680,0,0
186,231,5.6940370931,19.7540697187,1.4919931347,0,0
78,354,8.6979580587,19.7575315410,3.3566814507,0,0
4,302,3.2766389497,19.7611642460,1.5765052089,0,0
13,302,18.1818569190,19.7611642460,12.2142353703,0,0
