Age,Percent_Male,Percent_Female
1,1.7,1.7
2,1.7,1.7
3,1.7,1.7
4,1.7,1.7
5,1.7,1.7
6,1.7,1.7
7,1.7,1.7
8,1.7,1.7
9,1.7,1.7
10,1.7,1.7
11,1.7,1.7
12,1.7,1.7
13,1.7,1.7
14,1.7,1.7
15,1.7,1.7
16,1.7,1.7
17,1.7,1.7
18,1.7,1.7
19,1.7,1.7
20,1.7,1.7
21,1.7,1.7
22,1.7,1.7
23,1.7,1.7
24,1.7,1.7
25,1.7,1.7
26,1.7,1.7
27,1.7,1.7
28,1.7,1.7
29,1.7,1.7
30,1.7,1.7
31,1.6,1.6
32,1.6,1.6
33,1.6,1.6
34,1.6,1.6
35,1.6,1.6
36,1.6,1.6
37,1.6,1.6
38,1.6,1.6
39,1.6,1.6
40,1.5,1.5
41,1.5,1.5
42,1.5,1.5
43,1.5,1.5
44,1.5,1.5
45,1.4,1.4
46,1.4,1.4
47,1.4,1.4
48,1.4,1.4
49,1.3,1.3
50,1.3,1.3
51,1.3,1.3
52,1.2,1.2
53,1.2,1.2
54,1.1,1.1
55,1.1,1.1
56,1.1,1.1
57,1.0,1.0
58,1.0,1.0
59,0.9,0.9
60,0.9,0.9
61,0.8,0.8
62,0.8,0.8
63,0.7,0.7
64,0.7,0.7
65,0.6,0.6
66,0.6,0.6
67,0.5,0.5
68,0.5,0.5
69,0.4,0.4
70,0.4,0.4
71,0.4,0.4
72,0.3,0.3
73,0.3,0.3
74,0.2,0.2
75,0.2,0.2
76,0.2,0.2
77,0.2,0.2
78,0.1,0.1
79,0.1,0.1
80,0.1,0.1
81,0.1,0.1
82,0.1,0.1
83,0.1,0.1
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
