Age,Percent Male,Percent Female
0,2.3,2.1
1,2.3,2.0
2,2.3,2.0
3,2.2,2.0
4,2.3,2.0
5,2.3,2.0
6,2.3,2.0
7,2.3,2.0
8,2.3,2.0
9,2.3,2.1
10,2.3,2.1
11,2.3,2.1
12,2.3,2.1
13,2.2,2.0
14,2.2,2.0
15,2.2,2.0
16,2.1,2.0
17,2.1,2.0
18,2.0,1.9
19,2.0,1.9
20,1.9,1.8
21,1.8,1.8
22,1.7,1.8
23,1.7,1.7
24,1.6,1.7
25,1.6,1.7
26,1.6,1.7
27,1.7,1.8
28,1.9,1.9
29,1.9,1.9
30,1.9,2.0
31,1.9,2.0
32,1.9,1.9
33,1.9,1.9
34,1.8,1.9
35,1.8,1.9
36,1.7,1.8
37,1.6,1.7
38,1.5,1.6
39,1.5,1.5
40,1.4,1.4
41,1.3,1.3
42,1.2,1.2
43,1.1,1.2
44,1.1,1.1
45,1.0,1.0
46,1.0,1.0
47,0.9,0.9
48,0.8,0.8
49,0.7,0.8
50,0.7,0.7
51,0.6,0.7
52,0.6,0.7
53,0.6,0.6
54,0.6,0.6
55,0.5,0.6
56,0.5,0.6
57,0.5,0.5
58,0.4,0.5
59,0.4,0.5
60,0.4,0.5
61,0.4,0.5
62,0.4,0.4
63,0.3,0.4
64,0.3,0.4
65,0.3,0.4
66,0.3,0.4
67,0.3,0.4
68,0.2,0.3
69,0.2,0.3
70,0.2,0.3
71,0.2,0.3
72,0.2,0.3
73,0.2,0.3
74,0.1,0.2
75,0.1,0.2
76,0.1,0.2
77,0.1,0.2
78,0.1,0.2
79,0.1,0.1
80,0.1,0.1
81,0.1,0.1
82,0.1,0.1
83,0.0,0.1
84,0.0,0.1
85,0.0,0.1
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
